iter	Passed	Remaining
913	40757	8294
914	40813	8251
915	40879	8211
916	40943	8170
917	40999	8128
918	41060	8086
919	41109	8043
920	41165	8000
921	41215	7957
922	41269	7914
923	41334	7873
924	41394	7831
925	41449	7788
926	41499	7744
927	41551	7701
928	41612	7659
929	41675	7618
930	41729	7575
931	41799	7534
932	41853	7491
933	41908	7448
934	41964	7405
935	42013	7361
936	42066	7317
937	42117	7273
938	42167	7230
939	42238	7189
940	42301	7147
941	42361	7105
942	42434	7064
943	42513	7025
944	42568	6982
945	42622	6938
946	42668	6893
947	42725	6850
948	42778	6806
949	42829	6762
950	42892	6720
951	42945	6676
952	43001	6632
953	43058	6589
954	43112	6545
955	43165	6501
956	43215	6457
957	43267	6413
958	43314	6368
959	43362	6323
960	43417	6279
961	43503	6240
962	43567	6198
963	43619	6153
964	43668	6109
965	43716	6064
966	43769	6019
967	43828	5976
968	43884	5932
969	43939	5888
970	43996	5845
971	44048	5800
972	44109	5757
973	44164	5713
974	44220	5669
975	44275	5625
976	44324	5580
977	44380	5536
978	44443	5492
979	44495	5448
980	44550	5404
981	44608	5360
982	44663	5316
983	44714	5271
984	44760	5225
985	44814	5181
986	44865	5136
987	44924	5092
988	44982	5048
989	45037	5004
990	45092	4959
991	45141	4914
992	45201	4870
993	45261	4826
994	45314	4781
995	45370	4737
996	45430	4693
997	45497	4650
998	45605	4610
999	45673	4567
1000	45727	4522
1001	45780	4477
1002	45826	4431
1003	45879	4386
1004	45943	4342
1005	46012	4299
1006	46086	4256
1007	46145	4211
1008	46191	4165
1009	46242	4120
1010	46294	4075
1011	46344	4029
1012	46404	3985
1013	46458	3940
1014	46508	3894
1015	46560	3849
1016	46626	3805
1017	46679	3760
1018	46728	3714
1019	46776	3668
1020	46833	3623
1021	46903	3579
1022	46968	3535
1023	47015	3489
1024	47065	3443
1025	47114	3398
1026	47164	3352
1027	47216	3306
1028	47271	3261
1029	47336	3217
1030	47420	3173
1031	47496	3129
1032	47557	3084
1033	47614	3039
1034	47669	2993
1035	47718	2947
1036	47780	2902
1037	47855	2858
1038	47911	2812
1039	47984	2768
1040	48051	2723
1041	48106	2677
1042	48164	2632
1043	48232	2587
1044	48297	2541
1045	48363	2496
1046	48418	2450
1047	48475	2405
1048	48526	2359
1049	48590	2313
1050	48655	2268
1051	48736	2223
1052	48799	2178
1053	48855	2132
1054	48905	2086
1055	48955	2039
1056	48993	1993
1057	49032	1946
1058	49074	1899
1059	49118	1853
1060	49158	1806
1061	49197	1760
1062	49235	1713
1063	49273	1667
1064	49311	1620
1065	49351	1574
1066	49398	1527
1067	49438	1481
1068	49484	1435
1069	49525	1388
1070	49562	1342
1071	49606	1295
1072	49648	1249
1073	49697	1203
1074	49743	1156
1075	49801	1110
1076	49856	1064
1077	49898	1018
1078	49943	972
1079	49993	925
1080	50040	879
1081	50080	833
1082	50124	786
1083	50165	740
1084	50209	694
1085	50248	647
1086	50288	601
1087	50333	555
1088	50394	509
1089	50441	462
1090	50487	416
1091	50527	370
1092	50567	323
1093	50610	277
1094	50649	231
1095	50686	184
1096	50725	138
1097	50767	92
1098	50808	46
1099	50861	0
